Area,Year,Population_31_XII,Births,Deaths,Internal_Migration_Inflow,Internal_Migration_Outflow,Immigration,Emigration
Ogółem,2014,38461752,360447,384118,410975,410979,14102,24389
Ogółem,2015,38419006,353910,386808,398670,398671,14592,24389
Ogółem,2016,38369390,348807,389109,389908,389906,15082,24389
Ogółem,2017,38315463,345929,391029,385149,385148,15572,24389
Ogółem,2018,38259532,344983,392584,380379,380383,16061,24389
Ogółem,2019,38200552,342652,393794,375620,375618,16551,24389
Ogółem,2020,38137804,339299,394721,370860,370859,17041,24389
Ogółem,2021,38070314,334805,395420,365187,365183,17531,24389
Ogółem,2022,37997408,329451,395979,359510,359515,18021,24389
Ogółem,2023,37918575,323506,396489,353842,353841,18511,24389
Ogółem,2024,37833310,317177,397047,348171,348171,19001,24389
Ogółem,2025,37741462,310802,397746,342500,342502,19490,24389
Ogółem,2026,37643028,304637,398693,338155,338157,19980,24389
Ogółem,2027,37538019,298871,399963,333814,333815,20470,24389
Ogółem,2028,37426538,293612,401635,329472,329473,20960,24389
Ogółem,2029,37308801,288942,403712,325131,325132,21450,24389
Ogółem,2030,37185073,284886,406157,320788,320790,21940,24389
Ogółem,2031,37054634,281482,409985,318615,318615,22430,24389
Ogółem,2032,36917987,278724,413936,316438,316439,22919,24389
Ogółem,2033,36775688,276608,417928,314261,314265,23409,24389
Ogółem,2034,36628362,275093,421874,312088,312087,23899,24389
Ogółem,2035,36476771,274103,425702,309911,309913,24389,24389
Ogółem,2036,36321005,273538,429312,309911,309913,24389,24389
Ogółem,2037,36161695,273304,432622,309911,309913,24389,24389
Ogółem,2038,35999436,273312,435551,309911,309913,24389,24389
Ogółem,2039,35834847,273411,438032,309911,309913,24389,24389
Ogółem,2040,35668232,273463,439995,309911,309913,24389,24389
Ogółem,2041,35500249,273337,441387,309911,309913,24389,24389
Ogółem,2042,35330941,272893,442172,309911,309913,24389,24389
Ogółem,2043,35160664,272031,442338,309911,309913,24389,24389
Ogółem,2044,34989421,270687,441896,309911,309913,24389,24389
Ogółem,2045,34817385,268851,440860,309911,309913,24389,24389
Ogółem,2046,34644715,266552,439258,309911,309913,24389,24389
Ogółem,2047,34471413,263880,437154,309911,309913,24389,24389
Ogółem,2048,34297846,260937,434556,309911,309913,24389,24389
Ogółem,2049,34124130,257848,431559,309911,309913,24389,24389
Ogółem,2050,33950569,254744,428276,309911,309913,24389,24389
Miasta,2014,23202410,206384,235220,222751,255620,10271,17884
Miasta,2015,23129387,201505,237292,219892,249800,10628,17884
Miasta,2016,23051981,197654,239149,216010,245042,10985,17884
Miasta,2017,22971887,195420,240790,213132,241289,11341,17884
Miasta,2018,22889937,194725,242212,209246,237533,11698,17884
Miasta,2019,22804884,192613,243414,205369,233775,12055,17884
Miasta,2020,22716492,189895,244427,201603,230021,12412,17884
Miasta,2021,22624419,186570,245280,197605,225835,12768,17884
Miasta,2022,22528585,182862,246019,193721,221654,13125,17884
Miasta,2023,22428712,178860,246694,189841,217470,13482,17884
Miasta,2024,22324620,174616,247359,185957,213286,13839,17884
Miasta,2025,22216198,170358,248070,182074,209103,14196,17884
Miasta,2026,22103786,166266,248890,179296,205720,14552,17884
Miasta,2027,21987622,162481,249866,176520,202339,14909,17884
Miasta,2028,21867809,159069,251046,173742,198959,15266,17884
Miasta,2029,21744577,156093,252432,170966,195577,15623,17884
Miasta,2030,21618226,153563,253993,168188,192196,15979,17884
Miasta,2031,21488511,151505,256255,166813,190241,16336,17884
Miasta,2032,21355845,149907,258532,165437,188286,16693,17884
Miasta,2033,21220768,148767,260773,164058,186333,17050,17884
Miasta,2034,21083720,148056,262926,162684,184378,17407,17884
Miasta,2035,20945236,147729,264945,161307,182423,17763,17884
Miasta,2036,20804953,147711,266766,161307,182423,17763,17884
Miasta,2037,20663302,147922,268336,161307,182423,17763,17884
Miasta,2038,20520753,148284,269603,161307,182423,17763,17884
Miasta,2039,20377694,148689,270528,161307,182423,17763,17884
Miasta,2040,20234371,149039,271069,161307,182423,17763,17884
Miasta,2041,20091206,149233,271195,161307,182423,17763,17884
Miasta,2042,19948261,149186,270888,161307,182423,17763,17884
Miasta,2043,19805732,148826,270142,161307,182423,17763,17884
Miasta,2044,19663622,148129,268972,161307,182423,17763,17884
Miasta,2045,19522056,147079,267393,161307,182423,17763,17884
Miasta,2046,19381141,145712,265426,161307,182423,17763,17884
Miasta,2047,19240862,144087,263123,161307,182423,17763,17884
Miasta,2048,19101409,142270,260486,161307,182423,17763,17884
Miasta,2049,18962951,140357,257586,161307,182423,17763,17884
Miasta,2050,18825616,138422,254507,161307,182423,17763,17884
Wieś,2014,15259342,154064,148899,188224,155359,3831,6505
Wieś,2015,15289619,152405,149516,178778,148871,3964,6505
Wieś,2016,15317409,151152,149959,173898,144864,4097,6505
Wieś,2017,15343576,150509,150239,172017,143859,4231,6505
Wieś,2018,15369595,150258,150372,171133,142850,4363,6505
Wieś,2019,15395668,150039,150380,170251,141843,4496,6505
Wieś,2020,15421312,149403,150294,169257,140838,4629,6505
Wieś,2021,15445895,148237,150140,167582,139348,4763,6505
Wieś,2022,15468823,146588,149960,165789,137861,4896,6505
Wieś,2023,15489863,144645,149795,164001,136371,5029,6505
Wieś,2024,15508690,142560,149688,162214,134885,5162,6505
Wieś,2025,15525264,140445,149676,160426,133399,5294,6505
Wieś,2026,15539242,138371,149803,158859,132437,5428,6505
Wieś,2027,15550397,136389,150097,157294,131476,5561,6505
Wieś,2028,15558729,134544,150589,155730,130514,5694,6505
Wieś,2029,15564224,132849,151281,154165,129555,5827,6505
Wieś,2030,15566847,131323,152163,152600,128594,5961,6505
Wieś,2031,15566123,129976,153729,151802,128374,6094,6505
Wieś,2032,15562142,128817,155404,151001,128153,6226,6505
Wieś,2033,15554920,127840,157155,150203,127932,6359,6505
Wieś,2034,15544642,127036,158948,149404,127709,6492,6505
Wieś,2035,15531535,126374,160757,148604,127490,6626,6505
Wieś,2036,15516052,125826,162546,148604,127490,6626,6505
Wieś,2037,15498393,125383,164287,148604,127490,6626,6505
Wieś,2038,15478683,125027,165947,148604,127490,6626,6505
Wieś,2039,15457153,124722,167503,148604,127490,6626,6505
Wieś,2040,15433861,124425,168925,148604,127490,6626,6505
Wieś,2041,15409043,124104,170192,148604,127490,6626,6505
Wieś,2042,15382680,123707,171285,148604,127490,6626,6505
Wieś,2043,15354932,123205,172196,148604,127490,6626,6505
Wieś,2044,15325799,122557,172924,148604,127490,6626,6505
Wieś,2045,15295329,121772,173467,148604,127490,6626,6505
Wieś,2046,15263574,120840,173830,148604,127490,6626,6505
Wieś,2047,15230551,119794,174032,148604,127490,6626,6505
Wieś,2048,15196437,118669,174070,148604,127490,6626,6505
Wieś,2049,15161179,117492,173973,148604,127490,6626,6505
Wieś,2050,15124953,116323,173769,148604,127490,6626,6505
