Age,Men,Women
15,16.8,11.0
16,20.7,12.4
17,19.7,11.6
18,22.1,10.8
19,28.3,16.8
20,48.4,30.3
21,68.4,43.9
22,83.7,58.9
23,97.4,74.8
24,112.9,94.3
25,130.7,115.7
26,150.1,135.2
27,158.7,143.7
28,165.9,149.9
29,179.5,161.8
30,186.1,165.8
31,194.8,173.7
32,206.6,183.2
33,205.5,183.1
34,207.5,185.4
35,215.9,193.0
36,215.1,194.4
37,228.1,207.3
38,235.8,215.8
39,242.9,224.2
40,239.6,222.4
41,226.5,212.9
42,222.8,211.1
43,224.9,215.8
44,219.9,212.6
45,213.7,210.4
46,214.4,212.1
47,206.9,207.7
48,199.6,200.3
49,190.0,192.1
50,178.8,183.5
51,170.8,176.9
52,162.0,168.4
53,153.0,160.9
54,148.2,155.9
55,141.5,147.7
56,139.7,144.2
57,137.9,141.5
58,136.6,138.7
59,132.6,134.6
60,128.1,89.7
61,122.9,61.1
62,120.3,52.4
63,119.8,46.0
64,115.5,40.5
65,64.4,34.5
66,41.4,28.3
67,34.5,24.1
68,28.4,19.9
69,24.1,16.6
70,19.7,13.9
71,16.2,11.6
72,13.3,9.2
73,11.0,7.6
74,9.4,6.1
75,7.6,5.3
76,6.1,4.0
77,3.9,2.7
78,2.5,2.0
79,2.2,1.7
80,1.6,1.2
81,1.3,1.0
82,1.0,0.9
83,0.9,0.9
84,0.8,0.6
85+,2.1,2.1